,Brand,Application,Os,Resolution,Sound_Output,Refresh_Rate,USB,Rating,Price,HDMI,Screen_size
0,SAMSUNG,Netflix|Disney+Hotstar|Youtube,Tizen,Ultra HD,20,120,2,4.4,98970,4,65 inch
1,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,20,60,2,4.4,16999,3,32 inch
2,LG,Netflix|Prime Video|Disney+Hotstar|Youtube,WebOS,HD Ready,10,50,1,4.4,17999,2,32 inch
3,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Ultra HD,20,60,2,4.3,29999,3,43 inch
4,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,2,4.3,24999,3,40 inch
5,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,3,4.4,26999,3,43 inch
6,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,2,4.4,23999,3,40 inch
7,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,20,60,2,4.3,17499,3,32 inch
8,realme,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,24,60,2,4.3,16999,3,32 inch
9,SAMSUNG,Netflix|Disney+Hotstar|Youtube,Tizen,HD Ready,20,60,1,4.3,18290,2,32 inch
10,Mi,Netflix|Disney+Hotstar|Youtube,Android,Ultra HD,20,60,2,4.3,38999,3,50 inch
11,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Ultra HD,20,60,2,4.3,44999,3,55 inch
12,TCL,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Ultra HD,30,60,2,4.3,34999,3,50 inch
13,OnePlus,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,20,60,2,4.3,18999,2,32 inch
14,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,20,60,2,4.1,16999,3,32 inch
15,LG,Netflix|Prime Video|Disney+Hotstar|Youtube,WebOS,Full HD ,20,50,1,4.4,33990,2,43 inch
16,KODAK,Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,24,60,2,4.4,13990,3,32 inch
17,LG,Netflix|Prime Video|Disney+Hotstar|Youtube,WebOS,Ultra HD,20,60,1,4.3,38990,2,43 inch
18,TOSHIBA,Netflix|Prime Video|Youtube,VIDAA,Full HD ,24,60,2,4.3,24990,2,43 inch
19,iFFALCON,Netflix|Disney+Hotstar|Youtube,Android,Ultra HD,30,60,2,4.3,36999,3,55 inch
20,OnePlus,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,2,4.3,29499,2,43 inch
21,Thomson,Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,24,60,2,4.4,14499,3,32 inch
22,SAMSUNG,Netflix|Disney+Hotstar|Youtube,Tizen,Full HD ,20,60,1,4.4,32990,2,43 inch
23,TCL,Netflix|Disney+Hotstar|Youtube,Android,HD Ready,20,60,1,4.2,16499,2,32 inch
24,SAMSUNG,Netflix|Disney+Hotstar|Youtube,Tizen,Ultra HD,20,120,2,4.4,98970,4,65 inch
25,Candes,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,2,4.1,18499,2,40 inch
26,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,20,60,2,4.4,16999,3,32 inch
27,LG,Netflix|Prime Video|Disney+Hotstar|Youtube,WebOS,HD Ready,10,50,1,4.4,17999,2,32 inch
28,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Ultra HD,20,60,2,4.3,29999,3,43 inch
29,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,2,4.3,24999,3,40 inch
30,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,3,4.4,26999,3,43 inch
31,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,2,4.4,23999,3,40 inch
32,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,20,60,2,4.3,17499,3,32 inch
33,realme,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,24,60,2,4.3,16999,3,32 inch
34,SAMSUNG,Netflix|Disney+Hotstar|Youtube,Tizen,HD Ready,20,60,1,4.3,18290,2,32 inch
35,Mi,Netflix|Disney+Hotstar|Youtube,Android,Ultra HD,20,60,2,4.3,38999,3,50 inch
36,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Ultra HD,20,60,2,4.3,44999,3,55 inch
37,TCL,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Ultra HD,30,60,2,4.3,34999,3,50 inch
38,OnePlus,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,20,60,2,4.3,18999,2,32 inch
39,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,20,60,2,4.1,16999,3,32 inch
40,LG,Netflix|Prime Video|Disney+Hotstar|Youtube,WebOS,Full HD ,20,50,1,4.4,33990,2,43 inch
41,KODAK,Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,24,60,2,4.4,13990,3,32 inch
42,LG,Netflix|Prime Video|Disney+Hotstar|Youtube,WebOS,Ultra HD,20,60,1,4.3,38990,2,43 inch
43,TOSHIBA,Netflix|Prime Video|Youtube,VIDAA,Full HD ,24,60,2,4.3,24990,2,43 inch
44,iFFALCON,Netflix|Disney+Hotstar|Youtube,Android,Ultra HD,30,60,2,4.3,36999,3,55 inch
45,OnePlus,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,2,4.3,29499,2,43 inch
46,Thomson,Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,24,60,2,4.4,14499,3,32 inch
